time,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lastKnownUtilization,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:nBinDeltaDeleteOps,Op:nBinDeltaGetOps,Op:nBinDeltaInsertOps,Op:nBinDeltaUpdateOps,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2015-04-23 06:37:48.247 UTC,125,3157213,696,11360,0,0,0,0,0.0,0,0,0,0,0,0,0,3,3,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,1,369,369,1,0,2,4,0,0,46,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1429771067019,3145728,0,0,0,0,2,84,2,2,2,0,0,3,3,0,0,0,0,0,0,0,38,1,0,0,2048,1,956,2,0,0,0,0,0,0,0,0,20811912,-1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-23 06:37:56.338 UTC,964,40159836,1760,37013144,0,0,151195,0,0.0,0,0,0,0,0,0,0,1185,14,0,0,1190,1,5,0,11,0,0,0,0,0,0,0,0,0,0,0,134986,0,0,12888499915,2,20013257,8589948218,1,0,198,202,0,0,100,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1429771067019,3145728,0,0,108,0,1,1080,1,8,1,0,0,3,5,0,0,0,0,0,0,0,114,3,0,0,10240,5,33596618,35,0,0,0,1,0,0,9,188,233775432,-1,0,0,0,0,0,0,150021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-23 06:37:56.876 UTC,500,3174708,1992,28072,408,0,38,4,0.10526316,0,0,0,0,0,0,0,5,6,3,0,4,1,8,0,35,26,0,0,0,0,0,0,0,0,0,0,1,1,0,12888500799,3,0,12888500157,0,0,0,0,0,0,100,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1429771076414,3145728,0,0,0,20,0,0,0,6,0,0,0,3,0,0,0,0,20,2,22528,11,0,0,0,0,3719168,478,0,0,0,0,0,0,0,0,9,188,257329728,-1,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-23 06:38:04.240 UTC,964,49549620,2304,46402928,0,0,154071,1181,0.007665297,0,0,0,0,0,0,0,2909,31,0,0,1194,1725,5,0,149985,149982,0,0,0,0,0,0,0,0,0,0,141094,9,0,12888500799,3,0,12888500157,0,0,0,0,0,0,87,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1429771076414,3145728,0,0,0,151189,0,384,0,6,0,0,0,3,2,0,0,0,151189,4,61440,30,1047864,2,0,1180,312574103,152327,9930168,11,0,0,0,0,1,315,3,156,265484000,-1,0,0,0,0,0,0,299969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-23 06:38:04.572 UTC,625,3158217,1632,11864,0,0,19,3,0.15789473,0,0,0,0,0,0,0,3,3,4,0,2,1,5,0,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,17184449549,4,0,17184448436,0,0,0,0,0,0,86,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1429771084321,3145728,0,0,0,15,0,0,0,4,0,0,0,3,0,0,0,0,15,0,14336,7,0,0,0,0,4661248,578,0,0,0,0,0,0,1,315,12,344,297565936,-1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-23 09:24:29.678 UTC,625,3158217,1632,11864,0,0,19,3,0.15789473,0,0,0,0,0,0,0,3,3,4,0,2,1,5,0,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,17184449549,4,0,17184448436,0,0,0,0,0,0,86,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1429781068087,3145728,0,0,0,15,0,0,0,4,0,0,0,3,0,0,0,0,15,0,14336,7,0,0,0,0,4661248,578,0,0,0,0,0,0,0,0,0,0,28163712,-1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-23 09:24:37.640 UTC,57112,39978208,3216,36775368,0,0,151520,1182,0.00780095,0,0,0,0,0,0,0,1185,14,0,0,1194,0,6,0,1384,9,0,0,0,0,0,0,0,0,0,0,150139,10,0,17184449549,5,20096616,17184448436,1,0,287,293,0,0,49,NaN,0,0,0,0,0,135028,0,3,0,139,139,0,938,1,3,0,0,0,3,133941,0,0,0,0,0,0,0,0,1429781068087,3145728,0,0,33312,1202,1,1020,0,13,1,0,0,3,4,0,0,0,1202,5,212992,53,16356417,21,0,1180,35301527,6002,16954408,17,0,0,0,1,0,0,10,198,173480720,-1,0,0,0,0,0,0,151386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-23 09:24:37.886 UTC,625,3159113,1632,12760,0,0,48,3,0.0625,0,0,0,0,0,0,0,3,3,14,0,2,1,5,0,32,7,0,0,0,0,0,0,0,0,0,0,0,0,0,30072666587,7,77894371,30072665443,1,0,2,4,0,0,-1,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1429781077737,3145728,0,0,0,15,1,25,1,5,1,0,0,3,2,0,0,0,15,0,16384,8,1263,1,0,0,7974912,631,0,0,0,0,0,0,0,0,10,198,203571528,-1,0,0,0,0,0,0,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-23 09:24:37.900 UTC,625,3174129,2616,27776,0,0,7,1,0.14285715,0,0,0,0,0,0,0,4,5,0,0,2,2,7,0,5,4,0,0,0,0,0,0,0,0,0,0,1,1,0,30072666587,7,77894371,30072665443,0,0,0,0,0,0,79,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1429781077737,3145728,0,0,0,7,0,0,0,4,0,0,0,3,0,0,0,0,7,4,16384,8,0,0,0,1,9340,4,0,0,0,0,0,0,0,0,0,0,203571528,-1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-04-23 09:24:37.980 UTC,625,3159097,1632,12528,216,1,17,3,0.1764706,0,0,0,0,0,0,0,3,3,2,1,2,1,5,0,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,30072667263,8,0,30072666723,0,0,0,0,0,0,-1,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1429781077932,3145728,0,0,0,18,0,0,0,5,0,0,0,3,0,0,0,0,18,2,20480,9,0,0,0,0,7976960,632,0,0,0,0,0,0,0,0,10,198,224941392,-1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
